source_team_rank,source_team,source_player_id,real_nickname,inspired_name,region,role,archetype,drama_title,personality,visual_identity,face_safety_note,current_team,image_status,original_reference_required,original_reference_image_path,reference_visual_anchor,similarity_target,likeness_comparison_required,generation_channel,revision_note
14,G2,hltv-ranking-2026-06-01:G2:NertZ,NertZ,Nertzo,Israel,rifler,Israel rifle star posture,Israel rifle star posture,"Fictionalized rifler persona built from region, role, body language and playstyle, not facial cloning.","Israel rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.",Original fictional face: use region/playstyle/body-language references only; do not clone real facial identity or present the image as the real player.,G2,prompt_only,YES,references/originals/G2/NertZ.jpg,"Israel rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",YES - place original reference and generated character side by side; pass only if archetype is recognizable and face is not a clone.,Web ChatGPT image generation in a new browser window/tab only; do not use built-in image_gen for final character images.,Needs original reference image before generation.
14,G2,hltv-ranking-2026-06-01:G2:SunPayus,SunPayus,Sun-Pai,Spain,AWPer,Iberian sun AWP,Iberian sun AWP,"Warm outside, precise inside","Spanish/Southern European sniper, warm gentle face impression, precise focus.",Original fictional face: use region/playstyle/body-language references only; do not clone real facial identity or present the image as the real player.,G2,sample_pending,YES,references/originals/G2/SunPayus.jpg,"Spanish/Southern European sniper, warm gentle face impression, precise focus.",Medium-high archetype recognition through Spanish sniper cues and reference anchors.,YES - place original reference and generated character side by side; pass only if archetype is recognizable and face is not a clone.,Web ChatGPT image generation in a new browser window/tab only; do not use built-in image_gen for final character images.,Regenerate with Web ChatGPT using reference image.
14,G2,hltv-ranking-2026-06-01:G2:HeavyGod,HeavyGod,HeavyG,Israel,rifler,Israel rifle star posture,Israel rifle star posture,"Fictionalized rifler persona built from region, role, body language and playstyle, not facial cloning.","Israel rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.",Original fictional face: use region/playstyle/body-language references only; do not clone real facial identity or present the image as the real player.,G2,prompt_only,YES,references/originals/G2/HeavyGod.jpg,"Israel rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",YES - place original reference and generated character side by side; pass only if archetype is recognizable and face is not a clone.,Web ChatGPT image generation in a new browser window/tab only; do not use built-in image_gen for final character images.,Needs original reference image before generation.
14,G2,hltv-ranking-2026-06-01:G2:MATYS,MATYS,MatysX,Slovakia,rifler,Slovakia rifle star posture,Slovakia rifle star posture,"Fictionalized rifler persona built from region, role, body language and playstyle, not facial cloning.","Slovakia rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.",Original fictional face: use region/playstyle/body-language references only; do not clone real facial identity or present the image as the real player.,G2,prompt_only,YES,references/originals/G2/MATYS.jpg,"Slovakia rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",YES - place original reference and generated character side by side; pass only if archetype is recognizable and face is not a clone.,Web ChatGPT image generation in a new browser window/tab only; do not use built-in image_gen for final character images.,Needs original reference image before generation.
15,FaZe,hltv-ranking-2026-06-01:FaZe:frozen,frozen,Frozin,Slovakia,star rifler,Slovak ice-cold rifler king,Slovak ice-cold rifler king,"Low emotion, precise star rifler","Slovak cold rifler, polished icy expression, minimal emotion.",Original fictional face: use region/playstyle/body-language references only; do not clone real facial identity or present the image as the real player.,FaZe,sample_pending,YES,references/originals/FaZe/frozen.jpg,"Slovak cold rifler, polished icy expression, minimal emotion.",Medium-high archetype recognition through cold posture and reference hair/body anchors.,YES - place original reference and generated character side by side; pass only if archetype is recognizable and face is not a clone.,Web ChatGPT image generation in a new browser window/tab only; do not use built-in image_gen for final character images.,Regenerate with Web ChatGPT using reference image.
15,FaZe,hltv-ranking-2026-06-01:FaZe:Twistzz,Twistzz,Twizter,Canada,rifler,Canada rifle star posture,Canada rifle star posture,"Fictionalized rifler persona built from region, role, body language and playstyle, not facial cloning.","Canada rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.",Original fictional face: use region/playstyle/body-language references only; do not clone real facial identity or present the image as the real player.,FaZe,prompt_only,YES,references/originals/FaZe/Twistzz.jpg,"Canada rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",YES - place original reference and generated character side by side; pass only if archetype is recognizable and face is not a clone.,Web ChatGPT image generation in a new browser window/tab only; do not use built-in image_gen for final character images.,Needs original reference image before generation.
15,FaZe,hltv-ranking-2026-06-01:FaZe:broky,broky,Brokai,Latvia,AWPer,Latvia sniper focus,Latvia sniper focus,"Fictionalized AWPer persona built from region, role, body language and playstyle, not facial cloning.","Latvia AWPer archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.",Original fictional face: use region/playstyle/body-language references only; do not clone real facial identity or present the image as the real player.,FaZe,prompt_only,YES,references/originals/FaZe/broky.jpg,"Latvia AWPer archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",YES - place original reference and generated character side by side; pass only if archetype is recognizable and face is not a clone.,Web ChatGPT image generation in a new browser window/tab only; do not use built-in image_gen for final character images.,Needs original reference image before generation.
15,FaZe,hltv-ranking-2026-06-01:FaZe:jcobbb,jcobbb,J-Cobb,Poland,rifler,Poland rifle star posture,Poland rifle star posture,"Fictionalized rifler persona built from region, role, body language and playstyle, not facial cloning.","Poland rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.",Original fictional face: use region/playstyle/body-language references only; do not clone real facial identity or present the image as the real player.,FaZe,prompt_only,YES,references/originals/FaZe/jcobbb.jpg,"Poland rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",YES - place original reference and generated character side by side; pass only if archetype is recognizable and face is not a clone.,Web ChatGPT image generation in a new browser window/tab only; do not use built-in image_gen for final character images.,Needs original reference image before generation.
16,B8,hltv-ranking-2026-06-01:B8:alex666,alex666,Alex-6,Ukraine,IGL / rifler,Ukraine tactical commander,Ukraine tactical commander,"Fictionalized IGL / rifler persona built from region, role, body language and playstyle, not facial cloning.","Ukraine IGL / rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.",Original fictional face: use region/playstyle/body-language references only; do not clone real facial identity or present the image as the real player.,B8,prompt_only,YES,references/originals/B8/alex666.jpg,"Ukraine IGL / rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",YES - place original reference and generated character side by side; pass only if archetype is recognizable and face is not a clone.,Web ChatGPT image generation in a new browser window/tab only; do not use built-in image_gen for final character images.,Needs original reference image before generation.
16,B8,hltv-ranking-2026-06-01:B8:npl,npl,NPL-9,Ukraine,rifler,Ukrainian comeback rookie,Ukrainian comeback rookie,Young player trying to prove himself again,"Young Ukrainian rifler, pressure-tested expression, stubborn eyes.",Original fictional face: use region/playstyle/body-language references only; do not clone real facial identity or present the image as the real player.,B8,sample_pending,YES,references/originals/B8/npl.jpg,"Young Ukrainian rifler, pressure-tested expression, stubborn eyes.",Medium-high archetype recognition through Ukrainian young comeback cues.,YES - place original reference and generated character side by side; pass only if archetype is recognizable and face is not a clone.,Web ChatGPT image generation in a new browser window/tab only; do not use built-in image_gen for final character images.,Regenerate with Web ChatGPT using reference image.
16,B8,hltv-ranking-2026-06-01:B8:kensizor,kensizor,Kensizo,Ukraine,rifler,Ukraine rifle star posture,Ukraine rifle star posture,"Fictionalized rifler persona built from region, role, body language and playstyle, not facial cloning.","Ukraine rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.",Original fictional face: use region/playstyle/body-language references only; do not clone real facial identity or present the image as the real player.,B8,prompt_only,YES,references/originals/B8/kensizor.jpg,"Ukraine rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",YES - place original reference and generated character side by side; pass only if archetype is recognizable and face is not a clone.,Web ChatGPT image generation in a new browser window/tab only; do not use built-in image_gen for final character images.,Needs original reference image before generation.
16,B8,hltv-ranking-2026-06-01:B8:esenthial,esenthial,Essenth,Ukraine,support,Ukraine supportive anchor posture,Ukraine supportive anchor posture,"Fictionalized support persona built from region, role, body language and playstyle, not facial cloning.","Ukraine support archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.",Original fictional face: use region/playstyle/body-language references only; do not clone real facial identity or present the image as the real player.,B8,prompt_only,YES,references/originals/B8/esenthial.jpg,"Ukraine support archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",YES - place original reference and generated character side by side; pass only if archetype is recognizable and face is not a clone.,Web ChatGPT image generation in a new browser window/tab only; do not use built-in image_gen for final character images.,Needs original reference image before generation.
16,B8,hltv-ranking-2026-06-01:B8:s1zzi,s1zzi,Sizzi,Ukraine,rifler,Ukraine rifle star posture,Ukraine rifle star posture,"Fictionalized rifler persona built from region, role, body language and playstyle, not facial cloning.","Ukraine rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.",Original fictional face: use region/playstyle/body-language references only; do not clone real facial identity or present the image as the real player.,B8,prompt_only,YES,references/originals/B8/s1zzi.jpg,"Ukraine rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",YES - place original reference and generated character side by side; pass only if archetype is recognizable and face is not a clone.,Web ChatGPT image generation in a new browser window/tab only; do not use built-in image_gen for final character images.,Needs original reference image before generation.
17,magic,hltv-ranking-2026-06-01:magic:MaSvAl,MaSvAl,MasvalX,Europe,rifler,Europe rifle star posture,Europe rifle star posture,"Fictionalized rifler persona built from region, role, body language and playstyle, not facial cloning.","Europe rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.",Original fictional face: use region/playstyle/body-language references only; do not clone real facial identity or present the image as the real player.,magic,prompt_only,YES,references/originals/magic/MaSvAl.jpg,"Europe rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",YES - place original reference and generated character side by side; pass only if archetype is recognizable and face is not a clone.,Web ChatGPT image generation in a new browser window/tab only; do not use built-in image_gen for final character images.,Needs original reference image before generation.
17,magic,hltv-ranking-2026-06-01:magic:sFade8,sFade8,S-Fade,Europe,lurker,Europe patient lurker aura,Europe patient lurker aura,"Fictionalized lurker persona built from region, role, body language and playstyle, not facial cloning.","Europe lurker archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.",Original fictional face: use region/playstyle/body-language references only; do not clone real facial identity or present the image as the real player.,magic,prompt_only,YES,references/originals/magic/sFade8.jpg,"Europe lurker archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",YES - place original reference and generated character side by side; pass only if archetype is recognizable and face is not a clone.,Web ChatGPT image generation in a new browser window/tab only; do not use built-in image_gen for final character images.,Needs original reference image before generation.
17,magic,hltv-ranking-2026-06-01:magic:AW,AW,A-Wing,Europe,AWPer,Two-letter hawkeye sniper,Two-letter hawkeye sniper,Short-name mystery AWPer,European sniper with hawk-like sharp eyes and mysterious short-name aura.,Original fictional face: use region/playstyle/body-language references only; do not clone real facial identity or present the image as the real player.,magic,sample_pending,YES,references/originals/magic/AW.jpg,European sniper with hawk-like sharp eyes and mysterious short-name aura.,Medium-high archetype recognition through sharp sniper cues.,YES - place original reference and generated character side by side; pass only if archetype is recognizable and face is not a clone.,Web ChatGPT image generation in a new browser window/tab only; do not use built-in image_gen for final character images.,Regenerate with Web ChatGPT using reference image.
17,magic,hltv-ranking-2026-06-01:magic:mo0N,mo0N,Moon-O,Europe,rifler,Europe rifle star posture,Europe rifle star posture,"Fictionalized rifler persona built from region, role, body language and playstyle, not facial cloning.","Europe rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.",Original fictional face: use region/playstyle/body-language references only; do not clone real facial identity or present the image as the real player.,magic,prompt_only,YES,references/originals/magic/mo0N.jpg,"Europe rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",YES - place original reference and generated character side by side; pass only if archetype is recognizable and face is not a clone.,Web ChatGPT image generation in a new browser window/tab only; do not use built-in image_gen for final character images.,Needs original reference image before generation.
17,magic,hltv-ranking-2026-06-01:magic:tenzy,tenzy,Tenzin,Europe,rifler,Europe rifle star posture,Europe rifle star posture,"Fictionalized rifler persona built from region, role, body language and playstyle, not facial cloning.","Europe rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.",Original fictional face: use region/playstyle/body-language references only; do not clone real facial identity or present the image as the real player.,magic,prompt_only,YES,references/originals/magic/tenzy.jpg,"Europe rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",YES - place original reference and generated character side by side; pass only if archetype is recognizable and face is not a clone.,Web ChatGPT image generation in a new browser window/tab only; do not use built-in image_gen for final character images.,Needs original reference image before generation.
18,paiN,hltv-ranking-2026-06-01:paiN:vsm,vsm,V-Sim,Brazil,rifler,Brazil rifle star posture,Brazil rifle star posture,"Fictionalized rifler persona built from region, role, body language and playstyle, not facial cloning.","Brazil rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.",Original fictional face: use region/playstyle/body-language references only; do not clone real facial identity or present the image as the real player.,paiN,prompt_only,YES,references/originals/paiN/vsm.jpg,"Brazil rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",YES - place original reference and generated character side by side; pass only if archetype is recognizable and face is not a clone.,Web ChatGPT image generation in a new browser window/tab only; do not use built-in image_gen for final character images.,Needs original reference image before generation.
18,paiN,hltv-ranking-2026-06-01:paiN:biguzera,biguzera,Bigu-Z,Brazil,IGL / rifler,Brazilian heavyweight caller,Brazilian heavyweight caller,"Thick, resilient team soul","Brazilian captain, heavier/sturdier body impression, strong team-soul presence.",Original fictional face: use region/playstyle/body-language references only; do not clone real facial identity or present the image as the real player.,paiN,sample_pending,YES,references/originals/paiN/biguzera.jpg,"Brazilian captain, heavier/sturdier body impression, strong team-soul presence.","Medium-high archetype recognition through body type, captain aura and Brazilian cues.",YES - place original reference and generated character side by side; pass only if archetype is recognizable and face is not a clone.,Web ChatGPT image generation in a new browser window/tab only; do not use built-in image_gen for final character images.,Regenerate with Web ChatGPT using reference image.
18,paiN,hltv-ranking-2026-06-01:paiN:piriajr,piriajr,Piria-J,Brazil,rifler,Brazil rifle star posture,Brazil rifle star posture,"Fictionalized rifler persona built from region, role, body language and playstyle, not facial cloning.","Brazil rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.",Original fictional face: use region/playstyle/body-language references only; do not clone real facial identity or present the image as the real player.,paiN,prompt_only,YES,references/originals/paiN/piriajr.jpg,"Brazil rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",YES - place original reference and generated character side by side; pass only if archetype is recognizable and face is not a clone.,Web ChatGPT image generation in a new browser window/tab only; do not use built-in image_gen for final character images.,Needs original reference image before generation.
18,paiN,hltv-ranking-2026-06-01:paiN:saffee,saffee,Safir,Brazil,AWPer,Brazil sniper focus,Brazil sniper focus,"Fictionalized AWPer persona built from region, role, body language and playstyle, not facial cloning.","Brazil AWPer archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.",Original fictional face: use region/playstyle/body-language references only; do not clone real facial identity or present the image as the real player.,paiN,prompt_only,YES,references/originals/paiN/saffee.jpg,"Brazil AWPer archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",YES - place original reference and generated character side by side; pass only if archetype is recognizable and face is not a clone.,Web ChatGPT image generation in a new browser window/tab only; do not use built-in image_gen for final character images.,Needs original reference image before generation.
18,paiN,hltv-ranking-2026-06-01:paiN:snow,snow,Snowy,Brazil,rifler,Brazil rifle star posture,Brazil rifle star posture,"Fictionalized rifler persona built from region, role, body language and playstyle, not facial cloning.","Brazil rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.",Original fictional face: use region/playstyle/body-language references only; do not clone real facial identity or present the image as the real player.,paiN,prompt_only,YES,references/originals/paiN/snow.jpg,"Brazil rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",YES - place original reference and generated character side by side; pass only if archetype is recognizable and face is not a clone.,Web ChatGPT image generation in a new browser window/tab only; do not use built-in image_gen for final character images.,Needs original reference image before generation.
19,MIBR,hltv-ranking-2026-06-01:MIBR:LNZ,LNZ,Lenz,Sweden,rifler,Sweden rifle star posture,Sweden rifle star posture,"Fictionalized rifler persona built from region, role, body language and playstyle, not facial cloning.","Sweden rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.",Original fictional face: use region/playstyle/body-language references only; do not clone real facial identity or present the image as the real player.,MIBR,prompt_only,YES,references/originals/MIBR/LNZ.jpg,"Sweden rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",YES - place original reference and generated character side by side; pass only if archetype is recognizable and face is not a clone.,Web ChatGPT image generation in a new browser window/tab only; do not use built-in image_gen for final character images.,Needs original reference image before generation.
19,MIBR,hltv-ranking-2026-06-01:MIBR:brnz4n,brnz4n,Bronzan,Brazil,rifler,Brazil rifle star posture,Brazil rifle star posture,"Fictionalized rifler persona built from region, role, body language and playstyle, not facial cloning.","Brazil rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.",Original fictional face: use region/playstyle/body-language references only; do not clone real facial identity or present the image as the real player.,MIBR,prompt_only,YES,references/originals/MIBR/brnz4n.jpg,"Brazil rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",YES - place original reference and generated character side by side; pass only if archetype is recognizable and face is not a clone.,Web ChatGPT image generation in a new browser window/tab only; do not use built-in image_gen for final character images.,Needs original reference image before generation.
19,MIBR,hltv-ranking-2026-06-01:MIBR:insani,insani,Insano,Brazil,star rifler,Brazilian wild genius rifler,Brazilian wild genius rifler,"High-ceiling, emotional, explosive","Brazilian young star, wilder expression, intense face energy.",Original fictional face: use region/playstyle/body-language references only; do not clone real facial identity or present the image as the real player.,MIBR,sample_pending,YES,references/originals/MIBR/insani.jpg,"Brazilian young star, wilder expression, intense face energy.",Medium-high archetype recognition through wild genius cues and reference anchors.,YES - place original reference and generated character side by side; pass only if archetype is recognizable and face is not a clone.,Web ChatGPT image generation in a new browser window/tab only; do not use built-in image_gen for final character images.,Regenerate with Web ChatGPT using reference image.
19,MIBR,hltv-ranking-2026-06-01:MIBR:venomzera,venomzera,Venom-Z,Brazil,rifler,Brazil rifle star posture,Brazil rifle star posture,"Fictionalized rifler persona built from region, role, body language and playstyle, not facial cloning.","Brazil rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.",Original fictional face: use region/playstyle/body-language references only; do not clone real facial identity or present the image as the real player.,MIBR,prompt_only,YES,references/originals/MIBR/venomzera.jpg,"Brazil rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",YES - place original reference and generated character side by side; pass only if archetype is recognizable and face is not a clone.,Web ChatGPT image generation in a new browser window/tab only; do not use built-in image_gen for final character images.,Needs original reference image before generation.
19,MIBR,hltv-ranking-2026-06-01:MIBR:kl1m,kl1m,Klimm,Brazil,rifler,Brazil rifle star posture,Brazil rifle star posture,"Fictionalized rifler persona built from region, role, body language and playstyle, not facial cloning.","Brazil rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.",Original fictional face: use region/playstyle/body-language references only; do not clone real facial identity or present the image as the real player.,MIBR,prompt_only,YES,references/originals/MIBR/kl1m.jpg,"Brazil rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",YES - place original reference and generated character side by side; pass only if archetype is recognizable and face is not a clone.,Web ChatGPT image generation in a new browser window/tab only; do not use built-in image_gen for final character images.,Needs original reference image before generation.
20,9z,hltv-ranking-2026-06-01:9z:max,max,Maxo,Uruguay,IGL / rifler,Uruguay tactical commander,Uruguay tactical commander,"Fictionalized IGL / rifler persona built from region, role, body language and playstyle, not facial cloning.","Uruguay IGL / rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.",Original fictional face: use region/playstyle/body-language references only; do not clone real facial identity or present the image as the real player.,9z,prompt_only,YES,references/originals/9z/max.jpg,"Uruguay IGL / rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",YES - place original reference and generated character side by side; pass only if archetype is recognizable and face is not a clone.,Web ChatGPT image generation in a new browser window/tab only; do not use built-in image_gen for final character images.,Needs original reference image before generation.
20,9z,hltv-ranking-2026-06-01:9z:dgt,dgt,Digit,Uruguay,rifler,Uruguayan digital rifler,Uruguayan digital rifler,"Direct, hard, Latin American rifler","Uruguayan/Latin American hard young rifler, direct eye contact and sharp posture.",Original fictional face: use region/playstyle/body-language references only; do not clone real facial identity or present the image as the real player.,9z,sample_pending,YES,references/originals/9z/dgt.jpg,"Uruguayan/Latin American hard young rifler, direct eye contact and sharp posture.",Medium-high archetype recognition through Latin American regional cues and posture.,YES - place original reference and generated character side by side; pass only if archetype is recognizable and face is not a clone.,Web ChatGPT image generation in a new browser window/tab only; do not use built-in image_gen for final character images.,Regenerate with Web ChatGPT using reference image.
20,9z,hltv-ranking-2026-06-01:9z:meyern,meyern,Meyer-N,Argentina,rifler,Argentina rifle star posture,Argentina rifle star posture,"Fictionalized rifler persona built from region, role, body language and playstyle, not facial cloning.","Argentina rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.",Original fictional face: use region/playstyle/body-language references only; do not clone real facial identity or present the image as the real player.,9z,prompt_only,YES,references/originals/9z/meyern.jpg,"Argentina rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",YES - place original reference and generated character side by side; pass only if archetype is recognizable and face is not a clone.,Web ChatGPT image generation in a new browser window/tab only; do not use built-in image_gen for final character images.,Needs original reference image before generation.
20,9z,hltv-ranking-2026-06-01:9z:luchov,luchov,Lucho-V,Argentina,rifler,Argentina rifle star posture,Argentina rifle star posture,"Fictionalized rifler persona built from region, role, body language and playstyle, not facial cloning.","Argentina rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.",Original fictional face: use region/playstyle/body-language references only; do not clone real facial identity or present the image as the real player.,9z,prompt_only,YES,references/originals/9z/luchov.jpg,"Argentina rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",YES - place original reference and generated character side by side; pass only if archetype is recognizable and face is not a clone.,Web ChatGPT image generation in a new browser window/tab only; do not use built-in image_gen for final character images.,Needs original reference image before generation.
20,9z,hltv-ranking-2026-06-01:9z:HUASOPEEK,HUASOPEEK,Huaso-P,Chile,rifler,Chile rifle star posture,Chile rifle star posture,"Fictionalized rifler persona built from region, role, body language and playstyle, not facial cloning.","Chile rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.",Original fictional face: use region/playstyle/body-language references only; do not clone real facial identity or present the image as the real player.,9z,prompt_only,YES,references/originals/9z/HUASOPEEK.jpg,"Chile rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",YES - place original reference and generated character side by side; pass only if archetype is recognizable and face is not a clone.,Web ChatGPT image generation in a new browser window/tab only; do not use built-in image_gen for final character images.,Needs original reference image before generation.
